 #####################################################

  Assembler CPUID and RDTSC       
  CPU AuthenticAMD, Features Code 178BFBFF, Model Code 00660F51 
  AMD A10-9600P RADEON R5, 10 COMPUTE CORES 4C+6G 
  Measured - Minimum 2395 MHz, Maximum 2395 MHz 
  Linux Functions 
  get_nprocs() - CPUs 4, Configured CPUs 4 
  get_phys_pages() and size - RAM Size 11.13 GB, Page Size 4096 Bytes 
  uname() - Linux, Niramay, 4.15.0-88-generic 
  #88~16.04.1-Ubuntu SMP Wed Feb 12 04:19:15 UTC 2020, x86_64 


 #####################################################

     Memory Reading Speed Test 32 Bit Version 4.1 

               Start of test Thu Apr  9 13:27:35 2020

  Memory   x[m]=x[m]+s*y[m] Int+   x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       4   17768   8903  21430  23095  11839  19672  17313   9134  10935
       8   17930   8574  21990  23574  11439  19675  18179   9365  11282
      16   15957   8225  17399  18573  10162  16976  16280   8252   9336
      32   15953   8614  15300  18267  10191  15271  13161   7779   8867
      64   16887   8770  19292  22268  11491  18994  13858   8713   9850
     128   16791   8666  18878  22172  11380  18685  13560   8429  10016
     256   16616   8268  19134  22224  11524  18910  13731   8552  10178
     512   16543   8596  18494  21102  11297  18538  13605   8425  10115
    1024    6847   5942   7456   7652   6943   7551   3552   3784   3864
    2048    4436   4743   5011   5094   4935   5058   2581   2502   2533
    4096    4760   4290   4978   5132   4931   4943   2581   2522   2524
    8192    4864   4668   4944   5086   4902   5003   2347   2507   2518
   16384    4873   4626   4956   5056   4891   4983   2584   2476   2512
   32768    4623   4340   4981   5060   4782   4957   2572   2489   2530
   65536    5010   4591   4991   5087   4563   4968   2597   2512   2550
  131072    5116   4768   5060   5154   4983   4856   2580   2504   2553
  262144    5137   4813   5106   4814   5056   5151   2611   2576   2621
  524288    4693   4890   5205   5185   5152   5207   2522   2609   2631
 1048576    5231   4685   5168   5271   5159   5181   2675   2613   2638
 2097152    5166   4953   5067   5009   5133   5221   2669   2635   2664

                End of test Thu Apr  9 13:28:18 2020



