 #####################################################

  Assembler CPUID and RDTSC       
  CPU AuthenticAMD, Features Code 178BFBFF, Model Code 00660F51 
  AMD A10-9600P RADEON R5, 10 COMPUTE CORES 4C+6G 
  Measured - Minimum 2395 MHz, Maximum 3311 MHz 
  Linux Functions 
  get_nprocs() - CPUs 4, Configured CPUs 4 
  get_phys_pages() and size - RAM Size 11.13 GB, Page Size 4096 Bytes 
  uname() - Linux, Niramay, 4.15.0-88-generic 
  #88~16.04.1-Ubuntu SMP Wed Feb 12 04:19:15 UTC 2020, x86_64 


 #####################################################

     Memory Reading Speed Test 32 Bit OpenMP v4.1 

               Start of test Thu Apr  9 14:40:19 2020

  Memory   x[m]=x[m]+s*y[m] Int+   x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       4    1197   1492   1540   1466   1563   1303    793    810    808
       8    2942   3025   3066   2814   2863   2986   1569   1309   1566
      16    6191   4927   5472   6131   4937   5798   3046   2844   2960
      32    9563   6289   9456   9793   8390  10635   5801   5030   5321
      64    9172   8403  12295  12899  10602  16960   9732   7396   8755
     128   16507  10273  16776  15602  11594  23235  13281   9317  12031
     256   21217  11848  19373  25646  15077  29624  17405  11168  17361
     512   22859  12367  23240  30511  16839  36791  21797  10066  21275
    1024   24247  12735  26187  29328  17122  39661  23341   7082  12353
    2048   11275   9827  11769  10162  10097  11317   5389   5367   5466
    4096    4710   5271   5289   5325   4648   5193   2603   2646   2669
    8192    5319   5199   5083   4946   4479   5313   2658   2624   2660
   16384    5237   5237   5244   4769   5223   5313   2643   2290   2129
   32768    5371   5287   5330   4923   5294   5377   2654   2663   2673
   65536    5160   5502   5515   5507   5171   5393   2745   2752   2752
  131072    5553   5416   5038   5518   5485   5507   2746   2755   2753
  262144    5568   5292   5641   5556   5569   5593   2767   2782   2806
  524288    5717   5673   4904   5733   5719   5720   2858   2808   2838
 1048576    5712   5843   5833   5817   5820   5816   2861   2924   2867
 2097152    5848   5869   5884   5914   5868   5878   2946   2960   2949

                End of test Thu Apr  9 14:41:07 2020



